"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","slider_start"
"","384","ITC_11","ITC","survey-multi-choice-vertical","385","167193","0.0-336.0","{""Q0"":""11. ¿Qué opción preferirías?""}","{""Q0"":"" Sacarte un diente hoy""}",""
"","358.52999999996973","ITC_12","ITC","html-slider-response","386","167553","0.0-337.0","<div class='justified'>12. ¿Cuán impulsivo eres?</div></br>","-4","50"
"","398.2049999999872","ITC_13","ITC","html-slider-response","387","167952","0.0-338.0","<div class='justified'>13. ¿Cuánto tiempo tiendes a procastinar (perder el tiempo cuando tienes que hacer algo importante?</div></br>","-4","50"
"","356.3650000001071","ITC_14","ITC","html-slider-response","388","168310","0.0-339.0","<div class='justified'>14. ¿Cuánto piensas en tu futuro?</div></br>","-4","50"
"","587","ITC_15","ITC","survey-multi-choice-vertical","389","168901","0.0-340.0","{""Q0"":""15. Te has encontrado una billetera en cuyo interior hay una suma grande de dinero y la identificación del dueño. ¿Qué crees que harías?""}","{""Q0"":"" Mantienes la billetera y el dinero""}",""
"","537","ITC_16","ITC","survey-multi-choice-vertical","390","169442","0.0-341.0","{""Q0"":""16. Un(a) niño(a) andando en triciclo pasa por tu casa aparentando estar perdido.  ¿Qué crees que harías?""}","{""Q0"":"" Le preguntas al niño(a) donde vive y lo llevas a su casa""}",""
"","498","ITC_17","ITC","survey-multi-choice-vertical","391","169943","0.0-342.0","{""Q0"":""17. ¿Qué sería más probable que hicieras un sábado por la tarde?""}","{""Q0"":"" Ir a ver una película solo""}",""
"","495","ITC_18","ITC","survey-multi-choice-vertical","392","170441","0.0-343.0","{""Q0"":""18. Un hombre que no habla español se te acerca en la calle apartentemente por necesita ayuda. ¿Qué crees que harías?""}","{""Q0"":"" Haces como si no lo hubieras escuchado""}",""
"","514","ITC_19","ITC","survey-multi-choice-vertical","393","170957","0.0-344.0","{""Q0"":""19. La noche anterior a un importante examen un compañero te muestra una copia robada de la prueba.  ¿Qué crees que harías?""}","{""Q0"":"" Estudias el examen robado y obtienes una buena nota""}",""
"","551","ITC_20","ITC","survey-multi-choice-vertical","394","171511","0.0-345.0","{""Q0"":""20. En una situación en la que podrías cooperar, pero preferirías no hacerlo:""}","{""Q0"":"" Coopero de todas formas si es útil para los demás""}",""
"","549","ITC_21","ITC","survey-multi-choice-vertical","395","172063","0.0-346.0","{""Q0"":""21. Un amigo(a) te pide prestado(a) una prenda de ropa.  ¿Qué crees que harías?""}","{""Q0"":"" Se la prestas si sabes que realmente la necesita""}",""
"","515","ITC_22","ITC","survey-multi-choice-vertical","396","172581","0.0-347.0","{""Q0"":""22. Un(a) compañero(a) de tu clase está teniendo un problema en su casa y en su rendimiento universitario . ¿Qué crees que harías?""}","{""Q0"":"" Dejas a la persona sola resolviendo sus propios problemas""}",""
"","515","ITC_23","ITC","survey-multi-choice-vertical","397","173101","0.0-348.0","{""Q0"":""23. Estás en el segundo piso de un edificio y notas a un hombre con problemas de equililbrio y apartentando estar en problemas. ¿Qué crees que harías?""}","{""Q0"":"" Llamas a la policia temiendo algún posible peligro""}",""
"","499","ITC_24","ITC","survey-multi-choice-vertical","398","173602","0.0-349.0","{""Q0"":""24. Estando solo(a) en tu casa, escuchas afuera a una mujer pidiendo ayuda. ¿Qué crees que harías?""}","{""Q0"":"" Llamas a la policia y vas con ellos a ver que pasa""}",""
"","500","ITC_25","ITC","survey-multi-choice-vertical","399","174104","0.0-350.0","{""Q0"":""25. Yendo hacia la universidad ve a una persona de tu mismo sexo y similar edad con problemas en su auto. ¿Qué crees que harías?""}","{""Q0"":"" Te detienes a ayudar aunque la persona sea un extraño""}",""
"","515","ITC_26","ITC","survey-multi-choice-vertical","400","174623","0.0-351.0","{""Q0"":""26. Cuando eres requerido(a) como voluntario(a) para una tarea en la que no recibirás pago. ¿Qué crees que harías?""}","{""Q0"":"" Explicas que no estás de acuerdo con los objetivos que se buscan por lo que no podrás participar""}",""
"","481","ITC_27","ITC","survey-multi-choice-vertical","401","175107","0.0-352.0","{""Q0"":""27. Una anciana parada en una esquina aparenta estar perdida. ¿Qué crees que harías?""}","{""Q0"":"" La dejas sola, temiendo que ella pueda pensar que eres un ladrón(a) si vas a ayudar""}",""
"","520","ITC_28","ITC","survey-multi-choice-vertical","402","175630","0.0-353.0","{""Q0"":""28. Un grupo de compañeros tuyos organizó un evento de llamado \""como todo lo que puedas\"" a beneficiencia de una institución de caridad. ¿Qué crees que harías?""}","{""Q0"":"" Compras la entrada y comes todo lo que puedas (como sugiere el nombre del evento)""}",""
"","510","ITC_29","ITC","survey-multi-choice-vertical","403","176143","0.0-354.0","{""Q0"":""29. Una persona \""hace dedo\"" tarde en la noche. Está lloviendo y hay pocos autos en el camino. ¿Qué crees que harías?""}","{""Q0"":"" Continúas manejando y evitas mirar a la persona""}",""
"","502","ITC_30","ITC","survey-multi-choice-vertical","404","176648","0.0-355.0","{""Q0"":""30. Estás en una sala de espera con otra persona. Si escuchas un grito en la sala de al lado y la otra persona no hace nada. ¿Qué crees que harías?""}","{""Q0"":"" Abandonas la sala de espera""}",""
"","505","ITC_31","ITC","survey-multi-choice-vertical","405","177156","0.0-356.0","{""Q0"":""31. ¿A cual grupo sería más probable que te unas?""}","{""Q0"":"" A un club que ayude a otras personas y ofrezca actividades de interés para ti""}",""
"","502","ITC_32","ITC","survey-multi-choice-vertical","406","177662","0.0-357.0","{""Q0"":""32. En una calle desierta una persona pobremente vestida te pide una moneda. ¿Qué crees que harías?""}","{""Q0"":"" Lo ignoras""}",""
"","519","ITC_33","ITC","survey-multi-choice-vertical","407","178183","0.0-358.0","{""Q0"":""33. ¿Cuál de las siguientes alternativas te prepresenta mejor?""}","{""Q0"":"" Me gusta cuando las personas me ayudan""}",""
"","497","ITC_34","ITC","survey-multi-choice-vertical","408","178683","0.0-359.0","{""Q0"":""34. Si eres requerido(a) como voluntario (a) para una causa social por la que recibirás pago. ¿Qué crees que harías?""}","{""Q0"":"" Serías voluntario(a) si estás seguro(a) de que te pagarán y que el trabajo no es demasiado exigente""}",""
"","511","ITC_35","ITC","survey-multi-choice-vertical","409","179197","0.0-360.0","{""Q0"":""35. Un amigo de otra universidad visita a tu compañero de pieza el fin de semana. El quiere usar tu ticket de almuerzo para comer en la cafetería gratis. ¿Qué crees que harías?""}","{""Q0"":"" Le prestas tu ticket de almuerzo si él te paga algo""}",""
