"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","slider_start"
"","512","ITC_18","ITC","survey-multi-choice-vertical","392","166958","0.0-343.0","{""Q0"":""18. Un hombre que no habla español se te acerca en la calle apartentemente por necesita ayuda. ¿Qué crees que harías?""}","{""Q0"":"" Lo ayudas de cualquier manera que puedas""}",""
"","544","ITC_19","ITC","survey-multi-choice-vertical","393","167505","0.0-344.0","{""Q0"":""19. La noche anterior a un importante examen un compañero te muestra una copia robada de la prueba.  ¿Qué crees que harías?""}","{""Q0"":"" Estudias el examen robado y obtienes una buena nota""}",""
"","507","ITC_20","ITC","survey-multi-choice-vertical","394","168016","0.0-345.0","{""Q0"":""20. En una situación en la que podrías cooperar, pero preferirías no hacerlo:""}","{""Q0"":"" Coopero de todas formas si es útil para los demás""}",""
"","507","ITC_21","ITC","survey-multi-choice-vertical","395","168525","0.0-346.0","{""Q0"":""21. Un amigo(a) te pide prestado(a) una prenda de ropa.  ¿Qué crees que harías?""}","{""Q0"":"" Le dices que no""}",""
"","507","ITC_22","ITC","survey-multi-choice-vertical","396","169036","0.0-347.0","{""Q0"":""22. Un(a) compañero(a) de tu clase está teniendo un problema en su casa y en su rendimiento universitario . ¿Qué crees que harías?""}","{""Q0"":"" Acuerdas con la persona una tarifa razonable para ayudarlo""}",""
"","497","ITC_23","ITC","survey-multi-choice-vertical","397","169535","0.0-348.0","{""Q0"":""23. Estás en el segundo piso de un edificio y notas a un hombre con problemas de equililbrio y apartentando estar en problemas. ¿Qué crees que harías?""}","{""Q0"":"" Vas en ayuda sólo si lo reconoces como alguien conocido""}",""
"","492","ITC_24","ITC","survey-multi-choice-vertical","398","170030","0.0-349.0","{""Q0"":""24. Estando solo(a) en tu casa, escuchas afuera a una mujer pidiendo ayuda. ¿Qué crees que harías?""}","{""Q0"":"" Vas a ayudarla""}",""
"","512","ITC_25","ITC","survey-multi-choice-vertical","399","170545","0.0-350.0","{""Q0"":""25. Yendo hacia la universidad ve a una persona de tu mismo sexo y similar edad con problemas en su auto. ¿Qué crees que harías?""}","{""Q0"":"" Te detienes a ayudar aunque la persona sea un extraño""}",""
"","537","ITC_26","ITC","survey-multi-choice-vertical","400","171085","0.0-351.0","{""Q0"":""26. Cuando eres requerido(a) como voluntario(a) para una tarea en la que no recibirás pago. ¿Qué crees que harías?""}","{""Q0"":"" Explicas que no estás de acuerdo con los objetivos que se buscan por lo que no podrás participar""}",""
"","536","ITC_27","ITC","survey-multi-choice-vertical","401","171624","0.0-352.0","{""Q0"":""27. Una anciana parada en una esquina aparenta estar perdida. ¿Qué crees que harías?""}","{""Q0"":"" La ayudas solo si está bien vestida""}",""
"","547","ITC_28","ITC","survey-multi-choice-vertical","402","172174","0.0-353.0","{""Q0"":""28. Un grupo de compañeros tuyos organizó un evento de llamado \""como todo lo que puedas\"" a beneficiencia de una institución de caridad. ¿Qué crees que harías?""}","{""Q0"":"" No compras la entrada""}",""
"","510","ITC_29","ITC","survey-multi-choice-vertical","403","172687","0.0-354.0","{""Q0"":""29. Una persona \""hace dedo\"" tarde en la noche. Está lloviendo y hay pocos autos en el camino. ¿Qué crees que harías?""}","{""Q0"":"" Le ofreces llevarlo si la persona se ve como alguien con el que tú querrías conversar""}",""
"","542","ITC_30","ITC","survey-multi-choice-vertical","404","173231","0.0-355.0","{""Q0"":""30. Estás en una sala de espera con otra persona. Si escuchas un grito en la sala de al lado y la otra persona no hace nada. ¿Qué crees que harías?""}","{""Q0"":"" Abandonas la sala de espera""}",""
"","492","ITC_31","ITC","survey-multi-choice-vertical","405","173726","0.0-356.0","{""Q0"":""31. ¿A cual grupo sería más probable que te unas?""}","{""Q0"":"" A un club que ayude a otras personas y ofrezca actividades de interés para ti""}",""
"","489","ITC_32","ITC","survey-multi-choice-vertical","406","174218","0.0-357.0","{""Q0"":""32. En una calle desierta una persona pobremente vestida te pide una moneda. ¿Qué crees que harías?""}","{""Q0"":"" No le das dinero""}",""
"","506","ITC_33","ITC","survey-multi-choice-vertical","407","174727","0.0-358.0","{""Q0"":""33. ¿Cuál de las siguientes alternativas te prepresenta mejor?""}","{""Q0"":"" Solucionar tus propios problemas sin ayuda del resto""}",""
"","530","ITC_34","ITC","survey-multi-choice-vertical","408","175260","0.0-359.0","{""Q0"":""34. Si eres requerido(a) como voluntario (a) para una causa social por la que recibirás pago. ¿Qué crees que harías?""}","{""Q0"":"" Serías voluntario(a) si estás seguro(a) de que te pagarán y que el trabajo no es demasiado exigente""}",""
"","550","ITC_35","ITC","survey-multi-choice-vertical","409","175814","0.0-360.0","{""Q0"":""35. Un amigo de otra universidad visita a tu compañero de pieza el fin de semana. El quiere usar tu ticket de almuerzo para comer en la cafetería gratis. ¿Qué crees que harías?""}","{""Q0"":"" Le prestas tu ticket de almuerzo si él te paga algo""}",""
