"view_history","rt","trialid","condition_between","procedure","trial_type","trial_index","time_elapsed","internal_node_id","condition_within","stimulus","response","slider_start"
"[{""page_index"":0,""viewing_time"":352}]","353","FONDECYT_01_3","Image","FONDECYT","instructions","809","634839","0.0-801.0-0.2","lowQuality_Cancer","","",""
"","847.9000000022352","FONDECYT_02_3","Image","FONDECYT","survey-html-form","810","635690","0.0-801.0-1.2","lowQuality_Cancer","{""Q0"":null}","{""Q0"":""58""}",""
"","666","FONDECYT_03_3","Image","FONDECYT","survey-multi-choice-vertical","811","636361","0.0-801.0-2.2","lowQuality_Cancer","{""Q0"":""Has dicho que la probabilidad es del 58%¿Recomendarias la mamografía como prueba de screening para detectar cáncer de mama a tu paciente?""}","{""Q0"":"" No""}",""
"","614.5999999977648","FONDECYT_04_3","Image","FONDECYT","html-slider-response","812","636979","0.0-801.0-3.2","lowQuality_Cancer","<div class='justified'>¿Con qué seguridad NO recomendarías la mamografía como prueba <u>de screening</u> para el cáncer de mama?</div></br>","79","50"
"","745","FONDECYT_05_3","Image","FONDECYT","survey-multi-choice-vertical","813","637730","0.0-801.0-4.2","lowQuality_Cancer","{""Q0"":""La prueba diagnóstica recomendada cuando hay sospecha de cáncer de mama es una biopsia del tejido mamario.Cuando se aplica, existe una probabilidad de infección del 1%.Imagina que el resultado de prueba es POSITIVO. Recomendarías la biopsia como prueba diagnóstica?""}","{""Q0"":"" Si""}",""
"","489.5","FONDECYT_06_3","Image","FONDECYT","html-slider-response","814","638222","0.0-801.0-5.2","lowQuality_Cancer","<div class='justified'>¿Con qué seguridad recomendarías la biopsia como prueba diagnóstica para el cáncer de mama?</div></br>","62","50"
"[{""page_index"":0,""viewing_time"":391}]","391","FONDECYT_01_4","Image","FONDECYT","instructions","815","638615","0.0-801.0-0.3","highQuality_Cancer","","",""
"","820.0999999977648","FONDECYT_02_4","Image","FONDECYT","survey-html-form","816","639439","0.0-801.0-1.3","highQuality_Cancer","{""Q0"":null}","{""Q0"":""58""}",""
"","625","FONDECYT_03_4","Image","FONDECYT","survey-multi-choice-vertical","817","640070","0.0-801.0-2.3","highQuality_Cancer","{""Q0"":""Has dicho que la probabilidad es del 58%¿Recomendarias la mamografía como prueba de screening para detectar cáncer de mama a tu paciente?""}","{""Q0"":"" No""}",""
"","519.2999999970198","FONDECYT_04_4","Image","FONDECYT","html-slider-response","818","640592","0.0-801.0-3.3","highQuality_Cancer","<div class='justified'>¿Con qué seguridad NO recomendarías la mamografía como prueba <u>de screening</u> para el cáncer de mama?</div></br>","79","50"
"","769","FONDECYT_05_4","Image","FONDECYT","survey-multi-choice-vertical","819","641366","0.0-801.0-4.3","highQuality_Cancer","{""Q0"":""La prueba diagnóstica recomendada cuando hay sospecha de cáncer de mama es una biopsia del tejido mamario.Cuando se aplica, existe una probabilidad de infección del 1%.Imagina que el resultado de prueba es NEGATIVO. Recomendarías la biopsia como prueba diagnóstica?""}","{""Q0"":"" Si""}",""
"","580.8000000007451","FONDECYT_06_4","Image","FONDECYT","html-slider-response","820","641950","0.0-801.0-5.3","highQuality_Cancer","<div class='justified'>¿Con qué seguridad recomendarías la biopsia como prueba diagnóstica para el cáncer de mama?</div></br>","62","50"
