"view_history","rt","trialid","condition_between","procedure","trial_type","trial_index","time_elapsed","internal_node_id","condition_within","stimulus","response","slider_start"
"","509","FONDECYT_04_2","Image","FONDECYT","html-slider-response","804","629864","0.0-801.0-3.1","highQuality_Stroke","<div class='justified'>¿Con qué seguridad NO recomendarías la resonancia Weighted Difussion Imaging como prueba <u>diagnóstica</u> para el infarto cerebral?</div></br>","53","50"
"","745","FONDECYT_05_2","Image","FONDECYT","survey-multi-choice-vertical","805","630613","0.0-801.0-4.1","highQuality_Stroke","{""Q0"":""El tratamiento recomendado cuando hay sospecha de infarto cerebral es la trombolisis.Cuando se aplica, existe una probabilidad de hermorragia del 2%.Imagina que el resultado de prueba es POSITIVO. Recomendarías la trombolisis como tratamiento?""}","{""Q0"":"" No""}",""
"","1001.4000000022352","FONDECYT_06_2","Image","FONDECYT","html-slider-response","806","631617","0.0-801.0-5.1","highQuality_Stroke","<div class='justified'>¿Con qué seguridad NO recomendarías la trombolisis como tratamiento para el infarto cerebral?</div></br>","32","50"
"[{""page_index"":0,""viewing_time"":395}]","396","FONDECYT_01_3","Image","FONDECYT","instructions","807","632014","0.0-801.0-0.2","highQuality_Cancer","","",""
"","791.5","FONDECYT_02_3","Image","FONDECYT","survey-html-form","808","632808","0.0-801.0-1.2","highQuality_Cancer","{""Q0"":null}","{""Q0"":""96""}",""
"","645","FONDECYT_03_3","Image","FONDECYT","survey-multi-choice-vertical","809","633458","0.0-801.0-2.2","highQuality_Cancer","{""Q0"":""Has dicho que la probabilidad es del 96%¿Recomendarias la mamografía como prueba de screening para detectar cáncer de mama a tu paciente?""}","{""Q0"":"" No""}",""
"","666","FONDECYT_04_3","Image","FONDECYT","html-slider-response","810","634126","0.0-801.0-3.2","highQuality_Cancer","<div class='justified'>¿Con qué seguridad NO recomendarías la mamografía como prueba <u>de screening</u> para el cáncer de mama?</div></br>","53","50"
"","843","FONDECYT_05_3","Image","FONDECYT","survey-multi-choice-vertical","811","634974","0.0-801.0-4.2","highQuality_Cancer","{""Q0"":""La prueba diagnóstica recomendada cuando hay sospecha de cáncer de mama es una biopsia del tejido mamario.Cuando se aplica, existe una probabilidad de infección del 1%.Imagina que el resultado de prueba es NEGATIVO. Recomendarías la biopsia como prueba diagnóstica?""}","{""Q0"":"" No""}",""
"","579.7999999970198","FONDECYT_06_3","Image","FONDECYT","html-slider-response","812","635556","0.0-801.0-5.2","highQuality_Cancer","<div class='justified'>¿Con qué seguridad NO recomendarías la biopsia como prueba diagnóstica para el cáncer de mama?</div></br>","32","50"
"[{""page_index"":0,""viewing_time"":501}]","501","FONDECYT_01_4","Image","FONDECYT","instructions","813","636058","0.0-801.0-0.3","lowQuality_Cancer","","",""
"","782.5","FONDECYT_02_4","Image","FONDECYT","survey-html-form","814","636845","0.0-801.0-1.3","lowQuality_Cancer","{""Q0"":null}","{""Q0"":""96""}",""
"","646","FONDECYT_03_4","Image","FONDECYT","survey-multi-choice-vertical","815","637498","0.0-801.0-2.3","lowQuality_Cancer","{""Q0"":""Has dicho que la probabilidad es del 96%¿Recomendarias la mamografía como prueba de screening para detectar cáncer de mama a tu paciente?""}","{""Q0"":"" No""}",""
"","639.0999999977648","FONDECYT_04_4","Image","FONDECYT","html-slider-response","816","638140","0.0-801.0-3.3","lowQuality_Cancer","<div class='justified'>¿Con qué seguridad NO recomendarías la mamografía como prueba <u>de screening</u> para el cáncer de mama?</div></br>","53","50"
"","656","FONDECYT_05_4","Image","FONDECYT","survey-multi-choice-vertical","817","638801","0.0-801.0-4.3","lowQuality_Cancer","{""Q0"":""La prueba diagnóstica recomendada cuando hay sospecha de cáncer de mama es una biopsia del tejido mamario.Cuando se aplica, existe una probabilidad de infección del 1%.Imagina que el resultado de prueba es POSITIVO. Recomendarías la biopsia como prueba diagnóstica?""}","{""Q0"":"" No""}",""
"","531","FONDECYT_06_4","Image","FONDECYT","html-slider-response","818","639334","0.0-801.0-5.3","lowQuality_Cancer","<div class='justified'>¿Con qué seguridad NO recomendarías la biopsia como prueba diagnóstica para el cáncer de mama?</div></br>","32","50"
