"view_history","rt","trialid","condition_between","procedure","trial_type","trial_index","time_elapsed","internal_node_id","condition_within","stimulus","response","slider_start"
"","956.6000000014901","FONDECYT_06_2","Text","FONDECYT","html-slider-response","805","632247","0.0-801.0-5.1","highQuality_Stroke","<div class='justified'>¿Con qué seguridad NO recomendarías la trombolisis como tratamiento para el infarto cerebral?</div></br>","79","50"
"[{""page_index"":0,""viewing_time"":430}]","430","FONDECYT_01_3","Text","FONDECYT","instructions","806","632679","0.0-801.0-0.2","highQuality_Cancer","","",""
"","643.8999999985099","FONDECYT_02_3","Text","FONDECYT","survey-html-form","807","633327","0.0-801.0-1.2","highQuality_Cancer","{""Q0"":null}","{""Q0"":""72""}",""
"","788","FONDECYT_03_3","Text","FONDECYT","survey-multi-choice-vertical","808","634121","0.0-801.0-2.2","highQuality_Cancer","{""Q0"":""Has dicho que la probabilidad es del 72%¿Recomendarias la mamografía como prueba de screening para detectar cáncer de mama a tu paciente?""}","{""Q0"":"" Si""}",""
"","764.6999999992549","FONDECYT_04_3","Text","FONDECYT","html-slider-response","809","634888","0.0-801.0-3.2","highQuality_Cancer","<div class='justified'>¿Con qué seguridad recomendarías la mamografía como prueba <u>de screening</u> para el cáncer de mama?</div></br>","58","50"
"","639","FONDECYT_05_3","Text","FONDECYT","survey-multi-choice-vertical","810","635531","0.0-801.0-4.2","highQuality_Cancer","{""Q0"":""La prueba diagnóstica recomendada cuando hay sospecha de cáncer de mama es una biopsia del tejido mamario.Cuando se aplica, existe una probabilidad de infección del 1%.Imagina que el resultado de prueba es NEGATIVO. Recomendarías la biopsia como prueba diagnóstica?""}","{""Q0"":"" No""}",""
"","649.8000000007451","FONDECYT_06_3","Text","FONDECYT","html-slider-response","811","636184","0.0-801.0-5.2","highQuality_Cancer","<div class='justified'>¿Con qué seguridad NO recomendarías la biopsia como prueba diagnóstica para el cáncer de mama?</div></br>","79","50"
"[{""page_index"":0,""viewing_time"":375}]","375","FONDECYT_01_4","Text","FONDECYT","instructions","812","636560","0.0-801.0-0.3","lowQuality_Cancer","","",""
"","559.5","FONDECYT_02_4","Text","FONDECYT","survey-html-form","813","637122","0.0-801.0-1.3","lowQuality_Cancer","{""Q0"":null}","{""Q0"":""72""}",""
"","781","FONDECYT_03_4","Text","FONDECYT","survey-multi-choice-vertical","814","637908","0.0-801.0-2.3","lowQuality_Cancer","{""Q0"":""Has dicho que la probabilidad es del 72%¿Recomendarias la mamografía como prueba de screening para detectar cáncer de mama a tu paciente?""}","{""Q0"":"" Si""}",""
"","641","FONDECYT_04_4","Text","FONDECYT","html-slider-response","815","638553","0.0-801.0-3.3","lowQuality_Cancer","<div class='justified'>¿Con qué seguridad recomendarías la mamografía como prueba <u>de screening</u> para el cáncer de mama?</div></br>","58","50"
"","666","FONDECYT_05_4","Text","FONDECYT","survey-multi-choice-vertical","816","639224","0.0-801.0-4.3","lowQuality_Cancer","{""Q0"":""La prueba diagnóstica recomendada cuando hay sospecha de cáncer de mama es una biopsia del tejido mamario.Cuando se aplica, existe una probabilidad de infección del 1%.Imagina que el resultado de prueba es POSITIVO. Recomendarías la biopsia como prueba diagnóstica?""}","{""Q0"":"" No""}",""
"","649.3000000007451","FONDECYT_06_4","Text","FONDECYT","html-slider-response","817","639876","0.0-801.0-5.3","lowQuality_Cancer","<div class='justified'>¿Con qué seguridad NO recomendarías la biopsia como prueba diagnóstica para el cáncer de mama?</div></br>","79","50"
