"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","slider_start"
"","513","ITC_16","ITC","survey-multi-choice-vertical","410","191077","0.0-363.0","{""Q0"":""16. Un(a) niño(a) andando en triciclo pasa por tu casa aparentando estar perdido.  ¿Qué crees que harías?""}","{""Q0"":"" Le preguntas al niño(a) donde vive y lo llevas a su casa""}",""
"","528","ITC_17","ITC","survey-multi-choice-vertical","411","191609","0.0-364.0","{""Q0"":""17. ¿Qué sería más probable que hicieras un sábado por la tarde?""}","{""Q0"":"" Ir a ver una película solo""}",""
"","521","ITC_18","ITC","survey-multi-choice-vertical","412","192132","0.0-365.0","{""Q0"":""18. Un hombre que no habla español se te acerca en la calle apartentemente por necesita ayuda. ¿Qué crees que harías?""}","{""Q0"":"" Haces como si no lo hubieras escuchado""}",""
"","515","ITC_19","ITC","survey-multi-choice-vertical","413","192649","0.0-366.0","{""Q0"":""19. La noche anterior a un importante examen un compañero te muestra una copia robada de la prueba.  ¿Qué crees que harías?""}","{""Q0"":"" Te niegas a ver el examen robado y no le dices nada al profesor""}",""
"","542","ITC_20","ITC","survey-multi-choice-vertical","414","193195","0.0-367.0","{""Q0"":""20. En una situación en la que podrías cooperar, pero preferirías no hacerlo:""}","{""Q0"":"" Simplemente no lo hago""}",""
"","529","ITC_21","ITC","survey-multi-choice-vertical","415","193727","0.0-368.0","{""Q0"":""21. Un amigo(a) te pide prestado(a) una prenda de ropa.  ¿Qué crees que harías?""}","{""Q0"":"" Se la prestas si es que tú podrías pedirle a cambio algo en otra oportunidad""}",""
"","502","ITC_22","ITC","survey-multi-choice-vertical","416","194232","0.0-369.0","{""Q0"":""22. Un(a) compañero(a) de tu clase está teniendo un problema en su casa y en su rendimiento universitario . ¿Qué crees que harías?""}","{""Q0"":"" Dejas a la persona sola resolviendo sus propios problemas""}",""
"","535","ITC_23","ITC","survey-multi-choice-vertical","417","194770","0.0-370.0","{""Q0"":""23. Estás en el segundo piso de un edificio y notas a un hombre con problemas de equililbrio y apartentando estar en problemas. ¿Qué crees que harías?""}","{""Q0"":"" Llamas a la policia temiendo algún posible peligro""}",""
"","518","ITC_24","ITC","survey-multi-choice-vertical","418","195290","0.0-371.0","{""Q0"":""24. Estando solo(a) en tu casa, escuchas afuera a una mujer pidiendo ayuda. ¿Qué crees que harías?""}","{""Q0"":"" Estás seguro de que alquien más ha escuchado por lo que esperas""}",""
"","636","ITC_25","ITC","survey-multi-choice-vertical","419","195930","0.0-372.0","{""Q0"":""25. Yendo hacia la universidad ve a una persona de tu mismo sexo y similar edad con problemas en su auto. ¿Qué crees que harías?""}","{""Q0"":"" Continúas tu viaje""}",""
"","520","ITC_26","ITC","survey-multi-choice-vertical","420","196454","0.0-373.0","{""Q0"":""26. Cuando eres requerido(a) como voluntario(a) para una tarea en la que no recibirás pago. ¿Qué crees que harías?""}","{""Q0"":"" Explicas que no estás de acuerdo con los objetivos que se buscan por lo que no podrás participar""}",""
"","532","ITC_27","ITC","survey-multi-choice-vertical","421","196990","0.0-374.0","{""Q0"":""27. Una anciana parada en una esquina aparenta estar perdida. ¿Qué crees que harías?""}","{""Q0"":"" La dejas sola, temiendo que ella pueda pensar que eres un ladrón(a) si vas a ayudar""}",""
"","483","ITC_28","ITC","survey-multi-choice-vertical","422","197475","0.0-375.0","{""Q0"":""28. Un grupo de compañeros tuyos organizó un evento de llamado \""como todo lo que puedas\"" a beneficiencia de una institución de caridad. ¿Qué crees que harías?""}","{""Q0"":"" Compras la entrada y comes todo lo que puedas (como sugiere el nombre del evento)""}",""
"","520","ITC_29","ITC","survey-multi-choice-vertical","423","198000","0.0-376.0","{""Q0"":""29. Una persona \""hace dedo\"" tarde en la noche. Está lloviendo y hay pocos autos en el camino. ¿Qué crees que harías?""}","{""Q0"":"" Continúas manejando y evitas mirar a la persona""}",""
"","539","ITC_30","ITC","survey-multi-choice-vertical","424","198542","0.0-377.0","{""Q0"":""30. Estás en una sala de espera con otra persona. Si escuchas un grito en la sala de al lado y la otra persona no hace nada. ¿Qué crees que harías?""}","{""Q0"":"" Esperas a ver si los gritos continuan""}",""
"","541","ITC_31","ITC","survey-multi-choice-vertical","425","199085","0.0-378.0","{""Q0"":""31. ¿A cual grupo sería más probable que te unas?""}","{""Q0"":"" A un club dedicado a actividades de ocio""}",""
"","515","ITC_32","ITC","survey-multi-choice-vertical","426","199604","0.0-379.0","{""Q0"":""32. En una calle desierta una persona pobremente vestida te pide una moneda. ¿Qué crees que harías?""}","{""Q0"":"" Le das la moneda sin hacer preguntas""}",""
"","541","ITC_33","ITC","survey-multi-choice-vertical","427","200149","0.0-380.0","{""Q0"":""33. ¿Cuál de las siguientes alternativas te prepresenta mejor?""}","{""Q0"":"" Solucionar tus propios problemas sin ayuda del resto""}",""
"","533","ITC_34","ITC","survey-multi-choice-vertical","428","200686","0.0-381.0","{""Q0"":""34. Si eres requerido(a) como voluntario (a) para una causa social por la que recibirás pago. ¿Qué crees que harías?""}","{""Q0"":"" No serías voluntario(a)""}",""
"","527","ITC_35","ITC","survey-multi-choice-vertical","429","201216","0.0-382.0","{""Q0"":""35. Un amigo de otra universidad visita a tu compañero de pieza el fin de semana. El quiere usar tu ticket de almuerzo para comer en la cafetería gratis. ¿Qué crees que harías?""}","{""Q0"":"" Finges que no tienes tu ticket de almuerzo""}",""
