"view_history","rt","trialid","condition_between","procedure","trial_type","trial_index","time_elapsed","internal_node_id","condition_within","stimulus","response","slider_start"
"","682","FONDECYT_05_2","Text","FONDECYT","survey-multi-choice-vertical","805","632398","0.0-801.0-4.1","lowQuality_Cancer","{""Q0"":""La prueba diagnóstica recomendada cuando hay sospecha de cáncer de mama es una biopsia del tejido mamario.Cuando se aplica, existe una probabilidad de infección del 1%.Imagina que el resultado de prueba es POSITIVO. Recomendarías la biopsia como prueba diagnóstica?""}","{""Q0"":"" No""}",""
"","676.5","FONDECYT_06_2","Text","FONDECYT","html-slider-response","806","633077","0.0-801.0-5.1","lowQuality_Cancer","<div class='justified'>¿Con qué seguridad NO recomendarías la biopsia como prueba diagnóstica para el cáncer de mama?</div></br>","53","50"
"[{""page_index"":0,""viewing_time"":491}]","491","FONDECYT_01_3","Text","FONDECYT","instructions","807","633571","0.0-801.0-0.2","lowQuality_Stroke","","",""
"","554.6999999992549","FONDECYT_02_3","Text","FONDECYT","survey-html-form","808","634135","0.0-801.0-1.2","lowQuality_Stroke","{""Q0"":null}","{""Q0"":""33""}",""
"","920","FONDECYT_03_3","Text","FONDECYT","survey-multi-choice-vertical","809","635060","0.0-801.0-2.2","lowQuality_Stroke","{""Q0"":""Has dicho que la probabilidad es del 33%¿Recomendarias la resonancia Weighted Difussion Imaging como prueba diagnóstica para detectar infarto cerebral a tu paciente?""}","{""Q0"":"" Si""}",""
"","639.6999999992549","FONDECYT_04_3","Text","FONDECYT","html-slider-response","810","635703","0.0-801.0-3.2","lowQuality_Stroke","<div class='justified'>¿Con qué seguridad recomendarías la resonancia Weighted Difussion Imaging como prueba <u>diagnóstica</u> para el infarto cerebral?</div></br>","96","50"
"","681","FONDECYT_05_3","Text","FONDECYT","survey-multi-choice-vertical","811","636390","0.0-801.0-4.2","lowQuality_Stroke","{""Q0"":""El tratamiento recomendado cuando hay sospecha de infarto cerebral es la trombolisis.Cuando se aplica, existe una probabilidad de hermorragia del 2%.Imagina que el resultado de prueba es NEGATIVO. Recomendarías la trombolisis como tratamiento?""}","{""Q0"":"" No""}",""
"","656.6000000014901","FONDECYT_06_3","Text","FONDECYT","html-slider-response","812","637050","0.0-801.0-5.2","lowQuality_Stroke","<div class='justified'>¿Con qué seguridad NO recomendarías la trombolisis como tratamiento para el infarto cerebral?</div></br>","53","50"
"[{""page_index"":0,""viewing_time"":348}]","349","FONDECYT_01_4","Text","FONDECYT","instructions","813","637400","0.0-801.0-0.3","highQuality_Stroke","","",""
"","527.1999999992549","FONDECYT_02_4","Text","FONDECYT","survey-html-form","814","637930","0.0-801.0-1.3","highQuality_Stroke","{""Q0"":null}","{""Q0"":""33""}",""
"","873","FONDECYT_03_4","Text","FONDECYT","survey-multi-choice-vertical","815","638809","0.0-801.0-2.3","highQuality_Stroke","{""Q0"":""Has dicho que la probabilidad es del 33%¿Recomendarias la resonancia Weighted Difussion Imaging como prueba diagnóstica para detectar infarto cerebral a tu paciente?""}","{""Q0"":"" Si""}",""
"","565.3999999985099","FONDECYT_04_4","Text","FONDECYT","html-slider-response","816","639379","0.0-801.0-3.3","highQuality_Stroke","<div class='justified'>¿Con qué seguridad recomendarías la resonancia Weighted Difussion Imaging como prueba <u>diagnóstica</u> para el infarto cerebral?</div></br>","96","50"
"","630","FONDECYT_05_4","Text","FONDECYT","survey-multi-choice-vertical","817","640015","0.0-801.0-4.3","highQuality_Stroke","{""Q0"":""El tratamiento recomendado cuando hay sospecha de infarto cerebral es la trombolisis.Cuando se aplica, existe una probabilidad de hermorragia del 2%.Imagina que el resultado de prueba es POSITIVO. Recomendarías la trombolisis como tratamiento?""}","{""Q0"":"" No""}",""
"","710.5","FONDECYT_06_4","Text","FONDECYT","html-slider-response","818","640728","0.0-801.0-5.3","highQuality_Stroke","<div class='justified'>¿Con qué seguridad NO recomendarías la trombolisis como tratamiento para el infarto cerebral?</div></br>","53","50"
